RCDTS,Type,District,City,County,District Type,District Size,Total School Tax Rate per $100 2016-17,Total Expenditures 2016-17,Education Fund 2016-17 - Dollars,General Admin 2016-17 - Dollars,Local Property Taxes 2016-17 - Dollars,General State Aid 2016-17 - Dollars,Federal Funding 2016-17 - Dollars,Student Enrollment - Total,Expenditures_Per_Student,Education_Fund_Per_Student,General_Admin_Per_Student,Local_Property_Taxes_Per_Student,Fed_Funding_Per_Student
500821870260000,District,Cahokia CUSD 187,Cahokia,Saint Clair,UNIT,LARGE,11.05,50073554.0,38307490.0,3437400.0,9285536.0,27799806.0,9031774.0,3433.0,14585.946402563355,11158.604718904748,1001.2816778327993,2704.7876492863384,2630.869210602971
500821880220000,District,Brooklyn UD 188,Lovejoy,Saint Clair,UNIT,SMALL,7.56,2851230.0,2199778.0,288129.0,586278.0,826920.0,1141407.0,124.0,22993.790322580644,17740.145161290322,2323.6209677419356,4728.048387096775,9204.895161290322
500821890220000,District,East St Louis SD 189,East Saint Louis,Saint Clair,UNIT,LARGE,10.84,93562123.0,72136193.0,5406382.0,13152884.0,47892580.0,23721757.0,5718.0,16362.735746764603,12615.63361315145,945.5022735222105,2300.259531304652,4148.610877929346
500821960260000,District,Dupo CUSD 196,Dupo,Saint Clair,UNIT,MEDIUM,5.42,10741987.0,8053263.0,952963.0,3603853.0,4792472.0,1086793.0,1040.0,10328.833653846154,7743.522115384615,916.310576923077,3465.2432692307693,1044.9932692307693
500822010170000,District,Belleville Twp HSD 201,Belleville,Saint Clair,HIGH SCHOOL,LARGE,2.16,69071651.0,40373371.0,2718288.0,35040983.0,11905650.0,3323837.0,4735.0,14587.465892291446,8526.583104540654,574.0840549102429,7400.418796198522,701.9719112988384
500822030170000,District,O Fallon Twp HSD 203,O Fallon,Saint Clair,HIGH SCHOOL,MEDIUM,2.24,29225816.0,19084937.0,1788988.0,19744430.0,5177536.0,1854834.0,2443.0,11963.084731887024,7812.09046254605,732.2914449447401,8082.042570609906,759.2443716741711
510652000260000,District,Greenview CUSD 200,Greenview,Menard,UNIT,SMALL,4.76,2533644.0,2048973.0,181552.0,1922238.0,513764.0,162205.0,232.0,10920.879310344828,8831.780172413793,782.551724137931,8285.508620689656,699.1594827586207
510652020260000,District,Porta CUSD 202,Petersburg,Menard,UNIT,MEDIUM,5.05,13472103.0,8665565.0,535095.0,8057781.0,1699862.0,760279.0,1145.0,11766.028820960699,7568.17903930131,467.33187772925766,7037.363318777293,663.9991266375546
510652130260000,District,Athens CUSD 213,Athens,Menard,UNIT,MEDIUM,4.75,12461756.0,7844659.0,414046.0,5854478.0,2795094.0,394236.0,1120.0,11126.567857142858,7004.159821428571,369.68392857142857,5227.2125,351.99642857142857
510840010260000,District,Tri City CUSD 1,Buffalo,Sangamon,UNIT,MEDIUM,4.73,5875781.0,4123139.0,269337.0,3710592.0,949388.0,296398.0,564.0,10418.051418439716,7310.530141843971,477.54787234042556,6579.063829787234,525.5283687943263
510840050260000,District,Ball Chatham CUSD 5,Chatham,Sangamon,UNIT,LARGE,4.46,44142414.0,31729303.0,1565920.0,32477074.0,6240076.0,2243452.0,4809.0,9179.125389893949,6597.900395092534,325.62279060095653,6753.394468704512,466.5111249740071
510840080260000,District,Pleasant Plains CUSD 8,Pleasant Plains,Sangamon,UNIT,MEDIUM,5.24,15075975.0,10011229.0,887767.0,12391749.0,1406654.0,347415.0,1269.0,11880.200945626477,7889.069345941686,699.5799842395587,9764.971631205673,273.7706855791962
510840100260000,District,Auburn CUSD 10,Auburn,Sangamon,UNIT,MEDIUM,4.28,11797937.0,8992475.0,364151.0,5515823.0,4093647.0,640681.0,1342.0,8791.309239940387,6700.801043219076,271.349478390462,4110.151266766021,477.4076005961252
510840110260000,District,Pawnee CUSD 11,Pawnee,Sangamon,UNIT,MEDIUM,4.01,6599185.0,4647787.0,704104.0,5219592.0,318254.0,284329.0,605.0,10907.743801652892,7682.292561983471,1163.80826446281,8627.424793388429,469.96528925619833
510840140260000,District,Riverton CUSD 14,Riverton,Sangamon,UNIT,MEDIUM,4.52,13227318.0,9947316.0,479749.0,5449667.0,4960284.0,1351502.0,1387.0,9536.638788752703,7171.8211968276855,345.8896899783706,3929.1038211968275,974.4066330209084
510840150260000,District,Williamsville CUSD 15,Williamsville,Sangamon,UNIT,MEDIUM,4.56,14461575.0,9934091.0,418414.0,7879143.0,3855746.0,262524.0,1543.0,9372.375243033053,6438.166558651977,271.1691510045366,5106.379131561893,170.13869086195723
510840160260000,District,New Berlin CUSD 16,New Berlin,Sangamon,UNIT,MEDIUM,4.68,9861288.0,6334395.0,428896.0,8562606.0,512945.0,431682.0,936.0,10535.564102564103,6767.516025641025,458.22222222222223,9148.083333333334,461.19871794871796
510841860250000,District,Springfield SD 186,Springfield,Sangamon,UNIT,LARGE,5.2,192058422.0,149505742.0,5125712.0,109294301.0,40175684.0,26090817.0,14295.0,13435.356558237147,10458.603847499126,358.566771598461,7645.631409583771,1825.1708289611752
530601260260000,District,Havana CUSD 126,Havana,Mason,UNIT,MEDIUM,4.84,10089854.0,6983095.0,1182985.0,5673975.0,2272783.0,833322.0,946.0,10665.807610993657,7381.707188160676,1250.512684989429,5997.859408033826,880.8900634249471
530601890260000,District,Illini Central CUSD 189,Mason City,Mason,UNIT,MEDIUM,5.71,8578523.0,6591178.0,426131.0,4809932.0,1816223.0,659924.0,708.0,12116.55790960452,9309.573446327684,601.8799435028249,6793.689265536723,932.0960451977401
530601910260000,District,Midwest Central CUSD 191,Manito,Mason,UNIT,MEDIUM,5.31,10295490.0,7273520.0,853081.0,4785841.0,3384090.0,847492.0,942.0,10929.394904458599,7721.35881104034,905.6061571125265,5080.510615711252,899.6730360934182
530903030160000,District,Pekin CSD 303,Pekin,Tazewell,HIGH SCHOOL,MEDIUM,2.15,29352910.0,15055926.0,1394297.0,17314323.0,2442050.0,1216032.0,1849.0,15875.018929150892,8142.7398593834505,754.0816657652786,9364.155219037317,657.67009194159
530903080160000,District,Washington CHSD 308,Washington,Tazewell,HIGH SCHOOL,MEDIUM,2.64,17043953.0,13202980.0,489115.0,12930826.0,2422945.0,323105.0,1348.0,12643.882047477744,9794.495548961424,362.8449554896142,9592.600890207716,239.69213649851633
530903090160000,District,East Peoria CHSD 309,East Peoria,Tazewell,HIGH SCHOOL,MEDIUM,2.07,16018152.0,11630360.0,491257.0,11025822.0,913142.0,726075.0,988.0,16212.704453441296,11771.61943319838,497.2236842105263,11159.738866396761,734.8937246963562
530907010260000,District,Deer Creek-Mackinaw CUSD 701,Mackinaw,Tazewell,UNIT,MEDIUM,5.39,10983780.0,7841695.0,562147.0,6107265.0,3043542.0,347620.0,1061.0,10352.290292177191,7390.852968897267,529.8275212064091,5756.140433553252,327.63430725730444
530907020260000,District,Tremont CUSD 702,Tremont,Tazewell,UNIT,MEDIUM,5.12,9925249.0,7231127.0,303187.0,5961236.0,1987653.0,274022.0,983.0,10096.896236012208,7356.182095625636,308.4303153611394,6064.329603255341,278.7609359104781
530907030260000,District,Delavan CUSD 703,Delavan,Tazewell,UNIT,SMALL,5.98,10080848.0,4126444.0,314056.0,3571388.0,910633.0,471164.0,472.0,21357.728813559323,8742.466101694916,665.3728813559322,7566.5,998.228813559322
530907090260000,District,Morton CUSD 709,Morton,Tazewell,UNIT,LARGE,4.97,39874643.0,24510974.0,1113359.0,28732198.0,1317667.0,1057846.0,3073.0,12975.803123983078,7976.236251220306,362.3036121054344,9349.885453953792,344.2388545395379
531020060260000,District,Fieldcrest CUSD 6,Minonk,Woodford,UNIT,MEDIUM,5.23,12420699.0,9473641.0,477753.0,8151512.0,2229110.0,837677.0,984.0,12622.661585365853,9627.68394308943,485.5213414634146,8284.056910569107,851.2977642276422
531020110260000,District,El Paso-Gridley CUSD 11,El Paso,Woodford,UNIT,MEDIUM,5.51,15617639.0,9938686.0,671271.0,9138041.0,2106368.0,585323.0,1227.0,12728.312143439283,8099.98859005705,547.083129584352,7447.466177669112,477.0358598207009
531020210260000,District,Lowpoint-Washburn CUSD 21,Washburn,Woodford,UNIT,SMALL,5.71,4507949.0,3221145.0,364209.0,2888307.0,854064.0,283031.0,339.0,13297.784660766962,9501.902654867257,1074.3628318584072,8520.079646017699,834.8997050147493
531020600260000,District,Roanoke Benson CUSD 60,Roanoke,Woodford,UNIT,MEDIUM,6.11,6358123.0,4594821.0,424486.0,5112158.0,728808.0,295315.0,503.0,12640.403578528827,9134.833001988072,843.9085487077534,10163.335984095427,587.1073558648111
531021220170000,District,County of Woodford School,Metamora,Woodford,HIGH SCHOOL,MEDIUM,2.68,13119752.0,9240086.0,497085.0,9968775.0,1910885.0,425169.0,989.0,13265.67441860465,9342.857431749242,502.61375126390294,10079.651162790698,429.8978766430738
531021400260000,District,Eureka CUD 140,Eureka,Woodford,UNIT,MEDIUM,5.09,15548644.0,12070181.0,695288.0,10915274.0,3223582.0,695193.0,1583.0,9822.264055590651,7624.877447883765,439.22173089071384,6895.308907138345,439.16171825647507
540920010260000,District,Bismarck Henning CUSD,Bismarck,Vermilion,UNIT,MEDIUM,5.35,8068255.0,6054638.0,552452.0,4223423.0,2397090.0,242378.0,599.0,13469.540901502503,10107.909849749583,922.2904841402337,7050.789649415693,404.6377295492488
540920020260000,District,Westville CUSD 2,Westville,Vermilion,UNIT,MEDIUM,5.55,11793360.0,8343746.0,621414.0,2637904.0,6174952.0,1036518.0,1316.0,8961.519756838905,6340.232522796353,472.19908814589667,2004.4863221884498,787.6276595744681
540920040260000,District,Georgetown-Ridge Farm CUD 4,Georgetown,Vermilion,UNIT,MEDIUM,5.72,11515311.0,7432798.0,758385.0,3686402.0,4967814.0,1108420.0,973.0,11834.852004110997,7639.052415210688,779.4295991778006,3788.6968139773894,1139.1778006166496
540920070260000,District,Rossville-Alvin CUSD 7,Rossville,Vermilion,UNIT,SMALL,5.54,4195906.0,3218262.0,341193.0,2165360.0,1527217.0,223052.0,304.0,13802.322368421053,10586.388157894737,1122.345394736842,7122.894736842105,733.7236842105264
540920100260000,District,Potomac CUSD 10,Potomac,Vermilion,UNIT,SMALL,5.16,2177705.0,1743620.0,219293.0,1084022.0,924400.0,133325.0,156.0,13959.647435897436,11177.051282051281,1405.724358974359,6948.858974358975,854.6474358974359
540920110260000,District,Hoopeston Area CUSD 11,Hoopeston,Vermilion,UNIT,MEDIUM,5.18,13607033.0,11787839.0,539343.0,4287744.0,5999434.0,1261336.0,1238.0,10991.141357027464,9521.679321486268,435.656704361874,3463.4442649434573,1018.8497576736672
540920760260000,District,Oakwood CUSD 76,Oakwood,Vermilion,UNIT,MEDIUM,5.35,9190614.0,6246115.0,628589.0,4487062.0,3420620.0,436967.0,993.0,9255.401812688822,6290.146022155086,633.0201409869084,4518.692849949647,440.0473313192346
540921180240000,District,Danville CCSD 118,Danville,Vermilion,UNIT,LARGE,5.71,74214082.0,54746649.0,2754001.0,22707301.0,31593646.0,10767119.0,5631.0,13179.55638430119,9722.367075119872,489.07849405079025,4032.552122180785,1912.114899662582
540922250170000,District,Armstrong Twp HSD 225,Armstrong,Vermilion,HIGH SCHOOL,SMALL,2.34,2010301.0,1401504.0,188852.0,1637193.0,22543.0,76519.0,134.0,15002.246268656716,10458.985074626866,1409.3432835820895,12217.858208955224,571.0373134328358
540925120260000,District,Salt Fork Community Unit District  512,Catlin,Vermilion,UNIT,MEDIUM,5.46,8934949.0,6579189.0,748439.0,5444155.0,2267744.0,510369.0,907.0,9851.101433296582,7253.791620727674,825.180815876516,6002.3759647188535,562.7001102535833
560992020220000,District,Plainfield SD 202,Plainfield,Will,UNIT,LARGE,6.24,343576665.0,205742748.0,3937746.0,182303795.0,74795369.0,10919168.0,27102.0,12677.170135045384,7591.423068408236,145.29355767102058,6726.580879639879,402.8915947162571
560992040170000,District,Joliet Twp HSD 204,Joliet,Will,HIGH SCHOOL,LARGE,2.87,97717494.0,65883339.0,4075586.0,83829258.0,8655591.0,6038208.0,6719.0,14543.457955052836,9805.52745944337,606.576276231582,12476.448578657539,898.676588778092
560992050170000,District,Lockport Twp HSD 205,Lockport,Will,HIGH SCHOOL,LARGE,2.08,55975801.0,40338936.0,1268509.0,46669232.0,1907682.0,1646604.0,3746.0,14942.819273892152,10768.536038441003,338.63027229044314,12458.417512012813,439.5632674853177
560992100160000,District,Lincoln Way CHSD 210,New Lenox,Will,HIGH SCHOOL,LARGE,2.16,97832119.0,62442994.0,2640820.0,76385863.0,5265772.0,1800715.0,7010.0,13956.079743223965,8907.70242510699,376.72182596291015,10896.69942938659,256.8780313837375
11012002C260000,District,Marshall CUSD 2C,Marshall,Clark,UNIT,MEDIUM,3.74,11123425.0,8742938.0,1271830.0,4334997.0,4906130.0,881171.0,1306.0,8517.17075038285,6694.439509954058,973.8361408882083,3319.2932618683003,674.7098009188361
11012003C260000,District,Martinsville CUSD 3C,Martinsville,Clark,UNIT,SMALL,4.56,3962364.0,2887772.0,464006.0,1434806.0,1795337.0,659482.0,416.0,9524.913461538461,6941.759615384615,1115.3990384615386,3449.0528846153848,1585.2932692307693
11012004C260000,District,Casey-Westfield CUSD 4C,Casey,Clark,UNIT,MEDIUM,4.7,9435027.0,5736753.0,664963.0,3677212.0,3458538.0,824580.0,890.0,10601.15393258427,6445.78988764045,747.1494382022472,4131.6988764044945,926.4943820224719
11087003A260000,District,Cowden-Herrick CUSD 3A,Cowden,Shelby,UNIT,SMALL,5.07,3865393.0,2999844.0,322162.0,1141377.0,2081125.0,493515.0,356.0,10857.845505617977,8426.52808988764,904.9494382022472,3206.1151685393256,1386.2780898876404
11087005A260000,District,Stewardson-Strasburg CUD 5A,Strasburg,Shelby,UNIT,SMALL,4.6,3626798.0,2002235.0,341493.0,1656083.0,1139179.0,291191.0,355.0,10216.332394366198,5640.098591549296,961.9521126760563,4665.0225352112675,820.256338028169
17053006J260000,District,Tri Point CUSD 6-J,Kempton,Livingston,UNIT,SMALL,5.73,5559787.0,3634198.0,437047.0,3943740.0,492247.0,321752.0,397.0,14004.501259445844,9154.15113350126,1100.874055415617,9933.853904282116,810.4584382871536
51084003A260000,District,Rochester CUSD 3A,Rochester,Sangamon,UNIT,LARGE,4.52,21393685.0,15018732.0,919014.0,11785779.0,6187063.0,1178572.0,2253.0,9495.643586329339,6666.103861517976,407.9067909454061,5231.14913448735,523.1122947181535
56099200U260000,District,Beecher CUSD 200U,Beecher,Will,UNIT,MEDIUM,6.94,12013494.0,8111092.0,241311.0,10173066.0,1445499.0,356835.0,1014.0,11847.627218934911,7999.1045364891515,237.9792899408284,10032.60946745562,351.9082840236686
56099201U260000,District,Crete Monee CUSD 201U,Crete,Will,UNIT,LARGE,8.63,81581856.0,51129825.0,1762740.0,48132481.0,12961928.0,4672336.0,4893.0,16673.177191906805,10449.586143470264,360.2575107296137,9837.008174943798,954.9021050480278
56099207U260000,District,Peotone CUSD 207U,Peotone,Will,UNIT,MEDIUM,4.63,21225430.0,12507512.0,641779.0,16114818.0,876450.0,644859.0,1478.0,14360.913396481732,8462.457374830852,434.2212449255751,10903.12449255751,436.3051420838972
56099209U260000,District,Wilmington CUSD 209U,Wilmington,Will,UNIT,MEDIUM,4.68,18288571.0,12289373.0,459145.0,10113226.0,2092655.0,2594452.0,1355.0,13497.10036900369,9069.647970479706,338.85239852398524,7463.635424354244,1914.7247232472325
56099255U260000,District,Reed Custer CUSD 255U,Braidwood,Will,UNIT,MEDIUM,3.89,41320015.0,17942896.0,829057.0,23739445.0,772564.0,1080635.0,1500.0,27546.676666666666,11961.930666666667,552.7046666666666,15826.296666666667,720.4233333333333
56099365U260000,District,Valley View CUSD 365U,Romeoville,Will,UNIT,LARGE,7.54,275074739.0,185576657.0,5433914.0,175243384.0,36099150.0,15379670.0,16826.0,16348.19559015809,11029.160644241056,322.9474622607869,10415.035302508024,914.0419588731725
